"client_id";"last_purchase_date";"recency_days";"frequency";"monetary";"r_score";"f_score";"m_score";"rfm_code";"segment"
"2000200173748";2022-06-08;2;8;7114;5;5;5;"555";Champions
"2000200195238";2022-06-02;8;10;7106;5;5;5;"555";Champions
"2000200236030";2022-06-03;7;8;7075;5;5;5;"555";Champions
"2000200224914";2022-05-30;11;8;7007;5;5;5;"555";Champions
"2000200199380";2022-06-06;4;8;6984;5;5;5;"555";Champions
"2000200189930";2022-06-02;8;16;6975;5;5;5;"555";Champions
"2000200220503";2022-06-02;8;6;6956;5;5;5;"555";Champions
"2000200183143";2022-05-27;14;8;6909;5;5;5;"555";Champions
"2000200200147";2022-05-25;16;10;6864;5;5;5;"555";Champions
"2000200176510";2022-06-06;4;16;6857;5;5;5;"555";Champions
"2000200230960";2022-05-24;17;5;6835;5;5;5;"555";Champions
"2000200204695";2022-06-04;6;8;6832;5;5;5;"555";Champions
"2000200236825";2022-05-28;13;7;6826;5;5;5;"555";Champions
"2000200204268";2022-06-07;3;8;6821;5;5;5;"555";Champions
"2000200225966";2022-05-25;16;8;6817;5;5;5;"555";Champions
"2000200242888";2022-05-29;12;6;6800;5;5;5;"555";Champions
"2000200187677";2022-05-24;17;18;6757;5;5;5;"555";Champions
"2000200221876";2022-05-28;13;9;6736;5;5;5;"555";Champions
"2000200204596";2022-06-05;5;5;6587;5;5;5;"555";Champions
"2000200252696";2022-06-09;1;5;6554;5;5;5;"555";Champions
"2000200177036";2022-05-27;14;7;6404;5;5;5;"555";Champions
"2000200219347";2022-06-08;2;8;6400;5;5;5;"555";Champions
"2000200155553";2022-05-30;11;12;6360;5;5;5;"555";Champions
"2000200185741";2022-05-31;10;16;6352;5;5;5;"555";Champions
"2000200195764";2022-05-24;17;7;6348;5;5;5;"555";Champions
"2000200212065";2022-06-03;7;9;6346;5;5;5;"555";Champions
"2000200155867";2022-05-31;10;5;6330;5;5;5;"555";Champions
"2000200231035";2022-05-21;20;6;6324;5;5;5;"555";Champions
"2000200202189";2022-06-08;2;9;6316;5;5;5;"555";Champions
"2000200157267";2022-05-27;14;5;6313;5;5;5;"555";Champions
"2000200179078";2022-06-05;5;11;6231;5;5;5;"555";Champions
"2000200165811";2022-06-09;1;18;6210;5;5;5;"555";Champions
"2000200203049";2022-06-09;1;14;6169;5;5;5;"555";Champions
"2000200167006";2022-05-29;12;13;6164;5;5;5;"555";Champions
"2000200197515";2022-05-28;13;6;6110;5;5;5;"555";Champions
"2000200163329";2022-05-26;15;10;6102;5;5;5;"555";Champions
"2000200192749";2022-06-04;6;8;6096;5;5;5;"555";Champions
"2000200196044";2022-05-20;21;5;6058;5;5;5;"555";Champions
"2000200217510";2022-05-30;11;7;6052;5;5;5;"555";Champions
"2000200196310";2022-05-20;21;5;6030;5;5;5;"555";Champions
"2000200213550";2022-05-22;19;6;5989;5;5;5;"555";Champions
"2000200214700";2022-06-05;5;9;5986;5;5;5;"555";Champions
"2000200189190";2022-06-02;8;8;5924;5;5;5;"555";Champions
"2000200171522";2022-05-23;18;12;5923;5;5;5;"555";Champions
"2000200172017";2022-06-07;3;9;5881;5;5;5;"555";Champions
"2000200158288";2022-06-03;7;9;5873;5;5;5;"555";Champions
"2000200239789";2022-05-25;16;5;5866;5;5;5;"555";Champions
"2000200193241";2022-05-23;18;8;5842;5;5;5;"555";Champions
"2000200190493";2022-06-02;8;10;5827;5;5;5;"555";Champions
"2000200239765";2022-06-06;4;7;5796;5;5;5;"555";Champions
"2000200168669";2022-05-31;10;8;5782;5;5;5;"555";Champions
"2000200195658";2022-06-08;2;7;5780;5;5;5;"555";Champions
